selection,method,primary_method,shared_rank,gene,gene_short_name,scsketch_correlation,orientation_adjusted_scsketch_correlation,method_pseudotime_correlation,method_q_value,path_progress_pseudotime_spearman_r
Selection 1,Slingshot,True,36,WBGene00010864,xbx-3,0.6226973945559672,0.6226973945559672,0.6535682570209147,6.58120834536774e-75,0.9396640991208559
Selection 1,Slingshot,True,37,WBGene00021254,Y22D7AL.16,0.6214890372810183,0.6214890372810183,0.6134373842145219,1.559028226954083e-63,0.9396640991208559
Selection 1,Slingshot,True,38,WBGene00003745,nlp-7,0.6152945766744987,0.6152945766744987,0.6063696377590555,1.0420761067781208e-61,0.9396640991208559
Selection 1,Slingshot,True,39,WBGene00002253,lbp-1,-0.6003947626026455,-0.6003947626026455,-0.5947320770688298,8.650288064147728e-59,0.9396640991208559
Selection 1,Slingshot,True,40,WBGene00001753,gst-5,0.599107380617302,0.599107380617302,0.6229043115422526,4.5246049856790293e-66,0.9396640991208559
Selection 1,Slingshot,True,41,WBGene00016321,tppp-1,0.5985822145541353,0.5985822145541353,0.6089754706382331,2.245214636096726e-62,0.9396640991208559
Selection 1,Slingshot,True,42,WBGene00011545,T06G6.3,0.5865371979411853,0.5865371979411853,0.5882772288221252,3.0775839120421935e-57,0.9396640991208559
Selection 1,Slingshot,True,43,WBGene00005585,sri-73,0.5721408676987911,0.5721408676987911,0.6041650998973372,3.760209496076109e-61,0.9396640991208559
Selection 1,Slingshot,True,44,WBGene00011644,T09B9.3,0.5562158810998451,0.5562158810998451,0.6045357915833793,3.064823291150831e-61,0.9396640991208559
Selection 1,Slingshot,True,45,WBGene00001992,hot-7,0.5512649849993375,0.5512649849993375,0.5907749205164289,7.82540791108624e-58,0.9396640991208559
Selection 1,Slingshot,True,46,WBGene00016088,clec-266,-0.5485661242894074,-0.5485661242894074,-0.5454774156829646,1.2249212107455792e-47,0.9396640991208559
Selection 1,Slingshot,True,47,WBGene00018736,F53B1.3,0.542930575510615,0.542930575510615,0.5550045044661162,1.185060645516056e-49,0.9396640991208559
Selection 1,Slingshot,True,48,WBGene00044144,M153.4,0.5154279121370382,0.5154279121370382,0.5361197145501949,1.0521333404860337e-45,0.9396640991208559
Selection 1,Slingshot,True,49,WBGene00015411,srz-60,0.5086478666608882,0.5086478666608882,0.5430206086679396,3.978134522746336e-47,0.9396640991208559
Selection 1,Slingshot,True,50,WBGene00017813,F26A10.1,0.5054709439054422,0.5054709439054422,0.5607897272940482,6.470007794823733e-51,0.9396640991208559
Selection 1,Monocle3 global,True,1,WBGene00016561,eri-6,0.8887650818128008,0.8887650818128008,0.8736366232829967,2.819130933242468e-193,0.9669037130761381
Selection 1,Monocle3 global,True,2,WBGene00007883,C33A12.4,0.8859786588181304,0.8859786588181304,0.87739888491023,8.544036444819355e-197,0.9669037130761381
Selection 1,Monocle3 global,True,3,WBGene00017326,dmd-5,-0.8579736664137962,-0.8579736664137962,-0.7856581871596052,5.963539005297031e-129,0.9669037130761381
Selection 1,Monocle3 global,True,4,WBGene00007604,xbx-9,0.8412349177293611,0.8412349177293611,0.8216078227223347,5.906793524439217e-151,0.9669037130761381
Selection 1,Monocle3 global,True,5,WBGene00022144,pghm-1,0.8102754808023326,0.8102754808023326,0.7773531293888319,1.6331251873307408e-124,0.9669037130761381
Selection 1,Monocle3 global,True,6,WBGene00006063,sto-1,-0.7932417032083324,-0.7932417032083324,-0.7436891686765564,3.1500386721033288e-108,0.9669037130761381
Selection 1,Monocle3 global,True,7,WBGene00015354,snet-1,0.7842271956835284,0.7842271956835284,0.7053676636607276,1.320451090182363e-92,0.9669037130761381
Selection 1,Monocle3 global,True,8,WBGene00010236,F58B4.3,0.7794984059597705,0.7794984059597705,0.7016769203681971,2.9937100382241485e-91,0.9669037130761381
Selection 1,Monocle3 global,True,9,WBGene00018352,fbxc-20,-0.774466322248665,-0.774466322248665,-0.7313597141184782,6.247426314280347e-103,0.9669037130761381
Selection 1,Monocle3 global,True,10,WBGene00008840,F15A4.5,0.7735845564356314,0.7735845564356314,0.7047839414849426,2.135781480315769e-92,0.9669037130761381
Selection 1,Monocle3 global,True,11,WBGene00012853,Y44A6D.2,0.7616871137923671,0.7616871137923671,0.6920798187627047,8.582403670817431e-88,0.9669037130761381
Selection 1,Monocle3 global,True,12,WBGene00010559,K04D7.6,0.7557440506865012,0.7557440506865012,0.6860263176995253,1.1385403040532613e-85,0.9669037130761381
Selection 1,Monocle3 global,True,13,WBGene00249817,F42G8.19,0.7500161080995398,0.7500161080995398,0.7436796102424325,3.1500386721033288e-108,0.9669037130761381
Selection 1,Monocle3 global,True,14,WBGene00000458,ceh-37,-0.747126817670324,-0.747126817670324,-0.7636041865378742,1.5117317610383745e-117,0.9669037130761381
Selection 1,Monocle3 global,True,15,WBGene00011289,R102.2,0.7449005075058687,0.7449005075058687,0.6676652184511027,1.5148027254934444e-79,0.9669037130761381
Selection 1,Monocle3 global,True,16,WBGene00010575,flp-25,0.7443775569956793,0.7443775569956793,0.668263381441169,9.831006563459466e-80,0.9669037130761381
Selection 1,Monocle3 global,True,17,WBGene00019039,fbxb-18,-0.7394520289089258,-0.7394520289089258,-0.7518667847563295,6.461426323917168e-112,0.9669037130761381
Selection 1,Monocle3 global,True,18,WBGene00001898,his-24,-0.7338240412320495,-0.7338240412320495,-0.7433342637399617,4.281448794792629e-108,0.9669037130761381
Selection 1,Monocle3 global,True,19,WBGene00008447,E01G4.5,-0.7289311284956804,-0.7289311284956804,-0.7373124809639497,1.8318776118668056e-105,0.9669037130761381
Selection 1,Monocle3 global,True,20,WBGene00010239,F58B4.6,0.7257035002448528,0.7257035002448528,0.6738540798450917,1.5264226031648448e-81,0.9669037130761381
Selection 1,Monocle3 global,True,21,WBGene00019040,fbxb-19,-0.7223185245688661,-0.7223185245688661,-0.6988631563971087,3.08532576588993e-90,0.9669037130761381
Selection 1,Monocle3 global,True,22,WBGene00000468,ces-1,-0.7154443387951295,-0.7154443387951295,-0.7076608171940348,1.8089878532768635e-93,0.9669037130761381
Selection 1,Monocle3 global,True,23,WBGene00235158,Y37E3.30,-0.712615718953596,-0.712615718953596,-0.7140641890784752,6.190905149349454e-96,0.9669037130761381
