selection,gene,gene_short_name,scsketch_correlation,abs_scsketch_correlation,orientation_adjusted_scsketch_correlation,paga_dpt_correlation,same_direction_orientation_adjusted,scsketch_p_value,q_value
Selection 1,WBGene00249817,F42G8.19,0.7500161080995398,0.7500161080995398,0.7500161080995398,0.7391842760979163,True,6.110906673623956e-114,4.940472217312793e-115
Selection 1,WBGene00009144,del-3,0.6768336774100199,0.6768336774100199,0.6768336774100199,0.7337376037062326,True,6.138776848481101e-85,1.7483235697416574e-112
Selection 1,WBGene00019040,fbxb-19,-0.7223185245688661,0.7223185245688661,-0.7223185245688661,-0.7324595034196252,True,7.233808963002741e-102,6.287952645686457e-112
Selection 1,WBGene00017236,F08B4.4,0.6946496166766121,0.6946496166766121,0.6946496166766121,0.7301167680643087,True,3.4287165490581293e-91,7.246446045353877e-111
Selection 1,WBGene00019324,K02F2.5,0.6842126994673352,0.6842126994673352,0.6842126994673352,0.7227433088639827,True,1.789071416084298e-87,1.412352721771292e-107
Selection 1,WBGene00017671,pgal-1,0.6728519772992972,0.6728519772992972,0.6728519772992972,0.7207920239041063,True,1.3354611149526185e-83,9.586614778886649e-107
Selection 1,WBGene00018213,F39H12.2,0.6476690617801657,0.6476690617801657,0.6476690617801657,0.6970262483735392,True,1.3255045827314562e-75,7.477891098221495e-97
Selection 1,WBGene00016016,C23G10.10,0.6432895569614502,0.6432895569614502,0.6432895569614502,0.6914584789664063,True,2.731846639532609e-74,1.0533007241044284e-94
Selection 1,WBGene00017150,EGAP5.1,0.6361733458957213,0.6361733458957213,0.6361733458957213,0.6892582322283637,True,3.360484947301992e-72,7.06767327410497e-94
Selection 1,WBGene00018352,fbxc-20,-0.774466322248665,0.774466322248665,-0.774466322248665,-0.6889593212616282,True,5.309041894318295e-126,8.968075036618479e-94
Selection 1,WBGene00019269,H41C03.2,0.6248412886016607,0.6248412886016607,0.6248412886016607,0.6793669619583653,True,5.536905850842622e-69,3.365737011675109e-90
Selection 2,WBGene00010647,K08C7.4,0.7166745099727477,0.7166745099727477,0.7166745099727477,0.8932927404957482,True,9.403434426701582e-158,0.0
Selection 2,WBGene00007883,C33A12.4,0.8356265479444619,0.8356265479444619,0.8356265479444619,0.8500408596203983,True,7.0809614267796e-261,0.0
Selection 2,WBGene00001898,his-24,-0.7970503380483802,0.7970503380483802,-0.7970503380483802,-0.8055932875683919,True,6.16372972694845e-220,8.513697087355258e-287
Selection 2,WBGene00011545,T06G6.3,0.6069166800363553,0.6069166800363553,0.6069166800363553,0.7913671714597567,True,2.862972788418923e-101,8.640368785453647e-270
Selection 2,WBGene00012616,dct-14,0.6202545212760455,0.6202545212760455,0.6202545212760455,0.7904593856734897,True,6.033543724095592e-107,7.856902881955765e-269
Selection 2,WBGene00249817,F42G8.19,0.6037113347379015,0.6037113347379015,0.6037113347379015,0.7728540890405382,True,6.040354755111985e-100,2.1694705483228756e-249
Selection 2,WBGene00021911,Y55B1BR.1,0.5876471782305159,0.5876471782305159,0.5876471782305159,0.7706558468406598,True,1.5725797214788793e-93,3.688296958400105e-247
Selection 2,WBGene00044387,C27A2.8,0.5817137593625114,0.5817137593625114,0.5817137593625114,0.7594729399332029,True,2.9957889875608764e-91,7.269597479615248e-236
Selection 2,WBGene00044020,ZK856.14,0.5984266307978833,0.5984266307978833,0.5984266307978833,0.7557274133822284,True,8.54636181338111e-98,3.1525888680670186e-232
Selection 2,WBGene00009529,F38B2.2,0.56487375959814,0.56487375959814,0.56487375959814,0.7478562463803734,True,4.9919263784337915e-85,9.214579674814592e-225
