gene,gene_short_name,correlation,p-value,discovery_score
WBGene00014030,glb-1,0.21118685004931426,2.8382090496307523e-06,0
WBGene00015935,C17H12.10,0.21095625187167233,2.91154720102254e-06,0
WBGene00002018,hsp-16.41,0.2103037263128396,3.129023650930159e-06,0
WBGene00005240,srh-15,0.2098649701537253,3.2838966485052375e-06,0
WBGene00044386,C27A2.7,0.20918732172846152,3.537579930529911e-06,0
WBGene00013761,Y113G7B.11,0.20882127966143318,3.6822952296194808e-06,0
WBGene00008255,C51E3.10,0.20786201609845104,4.088872765015591e-06,0
WBGene00001753,gst-5,0.20746962892076348,4.26725121913819e-06,0
WBGene00003646,nhr-56,0.20691680973893528,4.53121767765387e-06,0
WBGene00022271,cpx-1,0.20620819172813426,4.89243691062789e-06,0
WBGene00019355,K03B4.4,0.20595058537441577,5.030441175045502e-06,0
WBGene00010982,flp-32,0.205555024207298,5.2496080666294725e-06,0
WBGene00020803,T25E4.1,0.20539126134570757,5.342985766223984e-06,0
WBGene00020138,T01B11.1,0.20524630801870045,5.426958981030287e-06,0
WBGene00003714,nhr-124,0.2039210704575176,6.2553453227658405e-06,0
WBGene00005032,sra-6,0.20367356052745036,6.422871941775393e-06,0
WBGene00012942,Y47D3B.6,0.2025318319109144,7.252610138442677e-06,0
WBGene00016168,C27F2.6,0.2022679205360801,7.458451502066487e-06,0
WBGene00008570,kcnl-2,0.20217741638778514,7.53031503246473e-06,0
WBGene00219317,F31E3.12,0.20203260703287232,7.646673469140365e-06,0
WBGene00077522,T10D4.15,0.20202101969281896,7.656057909594291e-06,0
WBGene00001448,flp-5,0.20200936502606248,7.665507949742792e-06,0
WBGene00020444,T12B3.1,0.2017337854264909,7.892224837498425e-06,0
WBGene00001763,gst-15,0.20127370673565917,8.285032194856542e-06,0
WBGene00017937,F30H5.3,0.20123521783008652,8.318724528771359e-06,0
WBGene00009982,F53F1.4,0.20060910248442845,8.885490441296763e-06,0
